175,"A","AUTOCARAVAN","PROPRIO","MILANO","FIAT - INNOCENTI",2500.00,"GASOL",85,"11/07/1995","1",,3250
177,"A","AUTOVEICOLO PER USO SPECIALE","PROPRIO","MILANO","IVECO - FIAT",2500.00,"GASOL",85,"01/01/1995","1",,3500
183,"A","AUTOVETTURA PER TRASPORTO DI PERSONE","PROPRIO","BRESCIA","SUZUKI",1590.00,"BENZ",71,"01/01/1995","1",,1500
266,"A","AUTOVETTURA PER TRASPORTO DI PERSONE","PROPRIO","BERGAMO",,1218.00,"BENZ",43,"08/01/1979","0",,1265
267,"A","AUTOVETTURA PER TRASPORTO DI PERSONE","PROPRIO","BERGAMO",,903.00,"BENZ",33,"15/01/1979","0",,1110
268,"A","AUTOVETTURA PER TRASPORTO DI PERSONE","PROPRIO","MILANO",,1570.00,"BENZ",80,"01/01/1980","0",,1400
277,"A","AUTOVETTURA PER TRASPORTO DI PERSONE","PROPRIO","BERGAMO",,594.00,"BENZ",17,"01/01/1974","0",,900
278,"A","AUTOVETTURA PER TRASPORTO DI PERSONE","PROPRIO","BERGAMO","FIAT - INNOCENTI",1116.00,"BENZ",40,"11/08/1983","0",,1140
287,"A","AUTOVETTURA PER TRASPORTO DI PERSONE","PROPRIO","LODI",,903.00,"BENZ",33,"13/02/1979","0",,1135
298,"A","AUTOVETTURA PER TRASPORTO DI PERSONE","PROPRIO","BERGAMO",,1116.00,"BENZ",44,"13/09/1978","0",,1280
299,"A","AUTOCARRO PER TRASPORTO DI COSE","PROPRIO","BERGAMO",,845.00,"BENZ",25,"29/10/1986","0",,1105
300,"A","AUTOVETTURA PER TRASPORTO DI PERSONE","PROPRIO","BERGAMO",,1987.00,"GASOL",40,"01/01/1976","0",,1805
301,"A","AUTOCARRO PER TRASPORTO DI COSE","PROPRIO","BERGAMO",,2360.00,"GASOL",46,"01/01/1976","0",,2835
302,"A","AUTOVETTURA PER TRASPORTO DI PERSONE","PROPRIO","BERGAMO",,965.00,"BENZ",35,"14/07/1978","0",,1075
303,"A","AUTOVETTURA PER TRASPORTO DI PERSONE","PROPRIO","LECCO",,1608.00,"BENZ",74,"01/01/1978","0",,1455
304,"A","AUTOVETTURA PER TRASPORTO DI PERSONE","PROPRIO","BERGAMO",,1471.00,"GASOL",37,"14/07/1978","0",,1250
305,"A","AUTOVETTURA PER TRASPORTO DI PERSONE","PROPRIO","BERGAMO",,1275.00,"BENZ",52,"02/02/1979","0",,1150
306,"A","AUTOVETTURA PER TRASPORTO DI PERSONE","PROPRIO","BERGAMO",,1995.00,"BENZ",80,"05/03/1979","0",,1710
307,"A","AUTOVETTURA PER TRASPORTO DI PERSONE","PROPRIO","BERGAMO",,903.00,"BENZ",33,"30/01/1979","0",,1110
312,"A","AUTOVETTURA PER TRASPORTO DI PERSONE","PROPRIO","COMO",,1301.00,"BENZ",48,"27/09/1978","0",,1415
314,"A","AUTOVETTURA PER TRASPORTO DI PERSONE","PROPRIO","BERGAMO",,1095.00,"BENZ",37,"10/10/1978","0",,1180
315,"A","AUTOCARRO PER TRASPORTO DI COSE","PROPRIO","BERGAMO",,2710.00,"GASOL",48,"01/01/1978","0",,3500
326,"A","AUTOVETTURA PER TRASPORTO DI PERSONE","PROPRIO","BERGAMO",,956.00,"BENZ",32,"01/01/1974","0",,1160
337,"A","AUTOVETTURA PER TRASPORTO DI PERSONE","PROPRIO","BERGAMO",,1116.00,"BENZ",44,"20/09/1978","0",,1295
342,"A","AUTOVETTURA PER TRASPORTO DI PERSONE","PROPRIO","BERGAMO",,602.00,"BENZ",24,"04/08/1978","0",,930
